pincode,post_office_name,district,state,delivery_status
262862,PO Uttarakhand District 862,Uttarakhand District,Uttarakhand,Delivery
263664,PO Uttarakhand District 664,Uttarakhand District,Uttarakhand,Delivery
263734,PO Uttarakhand District 734,Uttarakhand District,Uttarakhand,Delivery
200426,PO Kanpur 426,Kanpur,Uttar Pradesh,Delivery
200250,PO Kanpur 250,Kanpur,Uttar Pradesh,Delivery
200393,PO Agra 393,Agra,Uttar Pradesh,Delivery
200521,PO Allahabad 521,Allahabad,Uttar Pradesh,Delivery
201283,PO Kanpur 283,Kanpur,Uttar Pradesh,Delivery
201807,PO Meerut 807,Meerut,Uttar Pradesh,Delivery
202290,PO Allahabad 290,Allahabad,Uttar Pradesh,Delivery
202602,PO Meerut 602,Meerut,Uttar Pradesh,Delivery
203887,PO Agra 887,Agra,Uttar Pradesh,Delivery
203496,PO Varanasi 496,Varanasi,Uttar Pradesh,Delivery
203782,PO Meerut 782,Meerut,Uttar Pradesh,Delivery
203956,PO Varanasi 956,Varanasi,Uttar Pradesh,Delivery
203715,PO Agra 715,Agra,Uttar Pradesh,Delivery
204877,PO Kanpur 877,Kanpur,Uttar Pradesh,Non-Delivery
204763,PO Kanpur 763,Kanpur,Uttar Pradesh,Delivery
204831,PO Kanpur 831,Kanpur,Uttar Pradesh,Delivery
205508,PO Lucknow 508,Lucknow,Uttar Pradesh,Delivery
205989,PO Meerut 989,Meerut,Uttar Pradesh,Delivery
205103,PO Kanpur 103,Kanpur,Uttar Pradesh,Delivery
206016,PO Allahabad 16,Allahabad,Uttar Pradesh,Delivery
206892,PO Allahabad 892,Allahabad,Uttar Pradesh,Delivery
206077,PO Kanpur 77,Kanpur,Uttar Pradesh,Delivery
206272,PO Varanasi 272,Varanasi,Uttar Pradesh,Delivery
206408,PO Allahabad 408,Allahabad,Uttar Pradesh,Delivery
207873,PO Allahabad 873,Allahabad,Uttar Pradesh,Delivery
207390,PO Varanasi 390,Varanasi,Uttar Pradesh,Delivery
207909,PO Kanpur 909,Kanpur,Uttar Pradesh,Delivery
207037,PO Meerut 37,Meerut,Uttar Pradesh,Delivery
208233,PO Allahabad 233,Allahabad,Uttar Pradesh,Delivery
208101,PO Allahabad 101,Allahabad,Uttar Pradesh,Delivery
208103,PO Kanpur 103,Kanpur,Uttar Pradesh,Delivery
208307,PO Lucknow 307,Lucknow,Uttar Pradesh,Non-Delivery
209301,PO Varanasi 301,Varanasi,Uttar Pradesh,Delivery
209150,PO Agra 150,Agra,Uttar Pradesh,Delivery
210175,PO Agra 175,Agra,Uttar Pradesh,Delivery
210892,PO Kanpur 892,Kanpur,Uttar Pradesh,Delivery
210247,PO Kanpur 247,Kanpur,Uttar Pradesh,Delivery
211238,PO Kanpur 238,Kanpur,Uttar Pradesh,Delivery
211471,PO Varanasi 471,Varanasi,Uttar Pradesh,Delivery
211921,PO Kanpur 921,Kanpur,Uttar Pradesh,Delivery
212076,PO Kanpur 76,Kanpur,Uttar Pradesh,Delivery
212602,PO Varanasi 602,Varanasi,Uttar Pradesh,Delivery
212435,PO Allahabad 435,Allahabad,Uttar Pradesh,Delivery
213204,PO Kanpur 204,Kanpur,Uttar Pradesh,Delivery
213110,PO Agra 110,Agra,Uttar Pradesh,Delivery
213368,PO Meerut 368,Meerut,Uttar Pradesh,Delivery
213717,PO Varanasi 717,Varanasi,Uttar Pradesh,Non-Delivery
214282,PO Lucknow 282,Lucknow,Uttar Pradesh,Delivery
214703,PO Allahabad 703,Allahabad,Uttar Pradesh,Delivery
214933,PO Meerut 933,Meerut,Uttar Pradesh,Delivery
214853,PO Varanasi 853,Varanasi,Uttar Pradesh,Delivery
214236,PO Meerut 236,Meerut,Uttar Pradesh,Delivery
215652,PO Agra 652,Agra,Uttar Pradesh,Delivery
215695,PO Allahabad 695,Allahabad,Uttar Pradesh,Delivery
215698,PO Agra 698,Agra,Uttar Pradesh,Delivery
216317,PO Kanpur 317,Kanpur,Uttar Pradesh,Non-Delivery
216374,PO Allahabad 374,Allahabad,Uttar Pradesh,Delivery
217335,PO Allahabad 335,Allahabad,Uttar Pradesh,Delivery
217206,PO Agra 206,Agra,Uttar Pradesh,Delivery
217898,PO Varanasi 898,Varanasi,Uttar Pradesh,Delivery
217936,PO Varanasi 936,Varanasi,Uttar Pradesh,Delivery
218936,PO Kanpur 936,Kanpur,Uttar Pradesh,Delivery
218303,PO Allahabad 303,Allahabad,Uttar Pradesh,Delivery
218824,PO Lucknow 824,Lucknow,Uttar Pradesh,Delivery
218078,PO Agra 78,Agra,Uttar Pradesh,Delivery
219881,PO Allahabad 881,Allahabad,Uttar Pradesh,Delivery
219407,PO Meerut 407,Meerut,Uttar Pradesh,Delivery
219810,PO Kanpur 810,Kanpur,Uttar Pradesh,Non-Delivery
220466,PO Varanasi 466,Varanasi,Uttar Pradesh,Delivery
220689,PO Varanasi 689,Varanasi,Uttar Pradesh,Delivery
221111,PO Allahabad 111,Allahabad,Uttar Pradesh,Delivery
221026,PO Meerut 26,Meerut,Uttar Pradesh,Delivery
221575,PO Varanasi 575,Varanasi,Uttar Pradesh,Delivery
221227,PO Allahabad 227,Allahabad,Uttar Pradesh,Delivery
222932,PO Allahabad 932,Allahabad,Uttar Pradesh,Delivery
222419,PO Lucknow 419,Lucknow,Uttar Pradesh,Delivery
222969,PO Lucknow 969,Lucknow,Uttar Pradesh,Delivery
222505,PO Lucknow 505,Lucknow,Uttar Pradesh,Delivery
222909,PO Meerut 909,Meerut,Uttar Pradesh,Delivery
223380,PO Allahabad 380,Allahabad,Uttar Pradesh,Delivery
223714,PO Meerut 714,Meerut,Uttar Pradesh,Delivery
223761,PO Allahabad 761,Allahabad,Uttar Pradesh,Delivery
223425,PO Allahabad 425,Allahabad,Uttar Pradesh,Delivery
223502,PO Meerut 502,Meerut,Uttar Pradesh,Delivery
224034,PO Allahabad 34,Allahabad,Uttar Pradesh,Delivery
224455,PO Kanpur 455,Kanpur,Uttar Pradesh,Delivery
224876,PO Varanasi 876,Varanasi,Uttar Pradesh,Delivery
224703,PO Varanasi 703,Varanasi,Uttar Pradesh,Delivery
225063,PO Kanpur 63,Kanpur,Uttar Pradesh,Delivery
225992,PO Lucknow 992,Lucknow,Uttar Pradesh,Delivery
225844,PO Kanpur 844,Kanpur,Uttar Pradesh,Delivery
225218,PO Allahabad 218,Allahabad,Uttar Pradesh,Delivery
226052,PO Varanasi 52,Varanasi,Uttar Pradesh,Delivery
226129,PO Meerut 129,Meerut,Uttar Pradesh,Delivery
227601,PO Agra 601,Agra,Uttar Pradesh,Delivery
227239,PO Varanasi 239,Varanasi,Uttar Pradesh,Delivery
227808,PO Meerut 808,Meerut,Uttar Pradesh,Non-Delivery
228134,PO Meerut 134,Meerut,Uttar Pradesh,Delivery
228179,PO Lucknow 179,Lucknow,Uttar Pradesh,Delivery
228027,PO Agra 27,Agra,Uttar Pradesh,Non-Delivery
229603,PO Varanasi 603,Varanasi,Uttar Pradesh,Non-Delivery
229272,PO Lucknow 272,Lucknow,Uttar Pradesh,Delivery
229432,PO Meerut 432,Meerut,Uttar Pradesh,Delivery
230488,PO Kanpur 488,Kanpur,Uttar Pradesh,Delivery
230526,PO Meerut 526,Meerut,Uttar Pradesh,Delivery
231969,PO Meerut 969,Meerut,Uttar Pradesh,Non-Delivery
231803,PO Allahabad 803,Allahabad,Uttar Pradesh,Delivery
231470,PO Allahabad 470,Allahabad,Uttar Pradesh,Delivery
